date,code,basicPrice,open,close,high,low
2023-09-08,TRA,86.6,86.7,87.5,87.5,86.7
2023-09-08,DHG,123.5,123.5,121.8,123.5,120.3
2023-09-08,DBD,53,53,52.3,53,52.3
2023-09-07,DBD,53,53,53,53.1,52.5
2023-09-07,TRA,87.1,88.9,86.6,88.9,86.6
2023-09-07,DHG,122,121.6,123.5,124.8,121.6
2023-09-06,DHG,117.9,118.2,122,123,117.3
2023-09-06,TRA,87.1,87.2,87.1,87.4,87
2023-09-06,DBD,51.6,51.6,53,53,51.1
2023-09-05,DBD,51.6,51.6,51.6,51.8,51
2023-09-05,DHG,118,117,117.9,118.5,117
2023-09-05,TRA,87,87,87.1,87.1,87
2023-08-31,TRA,87.5,87,87,87,87
2023-08-31,DHG,116.4,116.5,118,118.4,116.5
2023-08-31,DBD,50.9,51.6,51.6,51.6,50.6
2023-08-30,DHG,115.2,115.2,116.4,116.4,115
2023-08-30,DBD,51.2,51.7,50.9,51.9,50.9
2023-08-30,TRA,87,87,87.5,87.5,87
2023-08-29,DBD,51.9,51.9,51.2,52,51.2
2023-08-29,TRA,87,87,87,87,87
2023-08-29,DHG,116.3,116.3,115.2,117,115.2
2023-08-28,DHG,115.7,115.8,116.3,116.5,115.7
2023-08-28,DBD,51.3,51.3,51.9,51.9,51
2023-08-28,TRA,86,86.1,87,87,85
2023-08-25,DHG,113.9,114,115.7,116,113.7
2023-08-25,TRA,87,85.8,86,86,85.8
2023-08-25,DBD,51.2,51.2,51.3,51.3,50.8
2023-08-24,TRA,87.9,87,87,87,87
2023-08-24,DBD,51,51,51.2,51.2,50.9
2023-08-24,DHG,113.8,113.8,113.9,114,113.1
2023-08-23,DBD,50.9,50.9,51,51.4,50.6
2023-08-23,TRA,87.9,87.9,87.9,87.9,87.9
2023-08-23,DHG,114,113.5,113.8,114,113.4
2023-08-22,TRA,85,85,87.9,87.9,85
2023-08-22,DHG,115,115,114,115,113
2023-08-22,DBD,50.7,50.7,50.9,50.9,50
2023-08-21,DHG,115,115,115,115.8,114.2
2023-08-21,TRA,83.5,83.6,85,85,83.6
2023-08-21,DBD,51.7,50.6,50.7,51.4,50.5
2023-08-18,TRA,87,86.1,83.5,86.1,83.5
2023-08-18,DHG,115,115.1,115,118,114
2023-08-18,DBD,52.3,51.3,51.7,52.5,51.2
2023-08-17,TRA,87,87,87,87,87
2023-08-17,DBD,51.6,51.2,52.3,52.5,51.1
2023-08-17,DHG,117.3,117.3,115,117.3,115
2023-08-16,DHG,119.9,119.5,117.3,119.5,117.2
2023-08-16,TRA,87,87,87,87,87
2023-08-16,DBD,52,52.3,51.6,52.3,51.3
2023-08-15,DHG,116,116,119.9,119.9,116
2023-08-15,DBD,50.3,50.5,52,52.1,50.5
2023-08-15,TRA,89.1,87,87,87,87
2023-08-14,TRA,89.3,86.6,89.1,89.1,86.6
2023-08-14,DHG,116,117,116,117,115.2
2023-08-14,DBD,50.7,50.7,50.3,50.7,50.3
2023-08-11,TRA,89.3,89.3,89.3,89.3,89.3
2023-08-11,DHG,116,116,116,116.5,115
2023-08-11,DBD,50.7,50.7,50.7,50.7,50.2
2023-08-10,TRA,89.3,89.3,89.3,89.3,89.3
2023-08-10,DHG,117.1,117.1,116,118,116
2023-08-10,DBD,50.9,50.6,50.7,51.2,50.6
2023-08-09,TRA,88.8,90.5,89.3,90.5,86
2023-08-09,DHG,117.9,117.9,117.1,119.9,117.1
2023-08-09,DBD,50.3,50.3,50.9,51,50.2
2023-08-08,TRA,88.8,86.8,88.8,88.8,86.8
2023-08-08,DHG,118.9,118.9,117.9,118.9,116.8
2023-08-08,DBD,51,50.3,50.3,51,50.1
2023-08-07,DBD,51,51,51,51.3,50.2
2023-08-07,DHG,119.7,119.8,118.9,119.8,118
2023-08-07,TRA,88,88.8,88.8,88.8,88.8
2023-08-04,DHG,120.3,121,119.7,121,119.4
2023-08-04,TRA,88,88,88,88.2,88
2023-08-04,DBD,50.4,51.4,51,51.4,50.3
2023-08-03,TRA,89,88,88,88.8,88
2023-08-03,DBD,50.7,50.8,50.4,51.8,50.4
2023-08-03,DHG,119.7,119.7,120.3,121.5,119.7
2023-08-02,TRA,89,89,89,89,89
2023-08-02,DHG,119,121.4,119.7,121.4,118.9
2023-08-02,DBD,50.6,50.7,50.7,51,50.1
2023-08-01,TRA,88.9,88.3,89,89,87.8
2023-08-01,DBD,52.6,53,50.6,53,50.6
2023-08-01,DHG,123,121.1,119,123.4,119
2023-07-31,DHG,117,117.1,123,123,117
2023-07-31,DBD,52.8,53,52.6,53,52.2
2023-07-31,TRA,88.8,89,88.9,90,82.9
2023-07-28,TRA,89.9,88.8,88.8,88.8,88.8
2023-07-28,DHG,119.1,119.9,117,119.9,115.5
